add device 1: /dev/input/event10
add device 3: /dev/input/event1
[1423674091.453363]	/dev/input/event1: EV_ABS		ABS_MT_TRACKING_ID   000003a1            
[1423674091.453391] /dev/input/event1: EV_KEY       BTN_TOUCH            DOWN                
[1423674091.453402] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000006a9            
[1423674091.453413] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003cc            
[1423674091.453422] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674091.453679] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.465046] /dev/input/event1: EV_ABS       003f                 0000000a            
[1423674091.465056] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000069b            
[1423674091.465060] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003cb            
[1423674091.465066] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.477189] /dev/input/event1: EV_ABS       003f                 0000000c            
[1423674091.477196] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000668            
[1423674091.477199] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003c7            
[1423674091.477203] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.489532] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000631            
[1423674091.489539] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.501625] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674091.501635] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000005f3            
[1423674091.501649] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.513712] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674091.513724] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000005ad            
[1423674091.513728] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003c9            
[1423674091.513734] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.525945] /dev/input/event1: EV_ABS       003f                 0000000c            
[1423674091.525952] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000562            
[1423674091.525955] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003cc            
[1423674091.525960] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.538312] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674091.538321] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000512            
[1423674091.538324] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003ce            
[1423674091.538328] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674091.538336] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.550350] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674091.550358] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000004bf            
[1423674091.550360] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003d5            
[1423674091.550364] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.562602] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000466            
[1423674091.562607] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003dd            
[1423674091.562612] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.575250] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000418            
[1423674091.575262] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003e7            
[1423674091.575271] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.587036] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674091.587045] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000003be            
[1423674091.587049] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003f6            
[1423674091.587058] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.599307] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674091.599315] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000376            
[1423674091.599317] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003ff            
[1423674091.599322] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.611545] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000032e            
[1423674091.611550] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000040d            
[1423674091.611556] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.623771] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002ed            
[1423674091.623777] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000041e            
[1423674091.623785] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.635980] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002b9            
[1423674091.635986] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000042a            
[1423674091.635993] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.648111] /dev/input/event1: EV_ABS       003f                 0000000c            
[1423674091.648121] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000028a            
[1423674091.648126] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000437            
[1423674091.648133] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.660378] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674091.660386] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000269            
[1423674091.660390] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000443            
[1423674091.660396] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.672546] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000255            
[1423674091.672550] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000044b            
[1423674091.672554] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.684858] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000249            
[1423674091.684864] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000451            
[1423674091.684870] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.696958] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000244            
[1423674091.696962] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000455            
[1423674091.696967] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.709367] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000243            
[1423674091.709372] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000458            
[1423674091.709378] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.721501] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000247            
[1423674091.721505] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000045c            
[1423674091.721510] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.733707] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674091.733716] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000268            
[1423674091.733721] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000461            
[1423674091.733727] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.745933] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002b4            
[1423674091.745939] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000045b            
[1423674091.745945] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.758161] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674091.758171] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002f8            
[1423674091.758175] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000044e            
[1423674091.758181] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674091.758187] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.770307] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674091.770318] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000353            
[1423674091.770324] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000434            
[1423674091.770328] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674091.770334] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.782560] /dev/input/event1: EV_ABS       003f                 0000000c            
[1423674091.782567] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000003ad            
[1423674091.782570] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000041c            
[1423674091.782572] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674091.782577] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.794864] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674091.794871] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000418            
[1423674091.794873] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000400            
[1423674091.794876] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674091.794879] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.806947] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674091.806960] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000483            
[1423674091.806965] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003e5            
[1423674091.806967] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674091.806972] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.819412] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674091.819419] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000004f1            
[1423674091.819426] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003cb            
[1423674091.819430] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
